label,message
spam,Earn money fast with this simple trick!
spam,Exclusive deal just for you! Act now before it’s too late.
ham,Don’t forget to submit your report by the end of the day.
spam,Click here to receive your free gift card worth $500.
spam,Get rich quick with this exclusive opportunity!
spam,Congratulations! You have won a free vacation to Hawaii!
spam,"Limited offer: Buy one, get one free."
ham,Your order has been shipped and is on its way.
ham,"Hello, I wanted to discuss our meeting next week."
spam,Exclusive deal just for you! Act now before it’s too late.
spam,Exclusive deal just for you! Act now before it’s too late.
spam,Click here to receive your free gift card worth $500.
spam,Earn money fast with this simple trick!
ham,See you at the office tomorrow.
spam,Act now to get your free trial of our amazing product!
spam,Congratulations! You have won a free vacation to Hawaii!
spam,You have been selected for a $1000 cash prize! Claim now!
ham,Looking forward to our lunch meeting today.
spam,Get rich quick with this exclusive opportunity!
spam,Congratulations! You have won a free vacation to Hawaii!
spam,Earn money fast with this simple trick!
ham,Don’t forget to submit your report by the end of the day.
ham,Please let me know if you need any further assistance.
ham,Reminder: Your appointment is scheduled for 10 AM on Friday.
ham,Looking forward to our lunch meeting today.
spam,Earn money fast with this simple trick!
ham,Your order has been shipped and is on its way.
ham,Your order has been shipped and is on its way.
ham,Thank you for your payment.
spam,Exclusive deal just for you! Act now before it’s too late.
ham,Can we catch up tomorrow for coffee?
spam,Exclusive deal just for you! Act now before it’s too late.
ham,"Hello, I wanted to discuss our meeting next week."
ham,"Hello, I wanted to discuss our meeting next week."
ham,Please review the attached document before our call.
spam,Act now to get your free trial of our amazing product!
ham,"Hello, I wanted to discuss our meeting next week."
ham,"Hello, I wanted to discuss our meeting next week."
spam,Get rich quick with this exclusive opportunity!
ham,Don’t forget to submit your report by the end of the day.
spam,Exclusive deal just for you! Act now before it’s too late.
ham,Looking forward to our lunch meeting today.
spam,Exclusive deal just for you! Act now before it’s too late.
ham,Please review the attached document before our call.
ham,"Hello, I wanted to discuss our meeting next week."
spam,You have been selected for a $1000 cash prize! Claim now!
spam,Act now to get your free trial of our amazing product!
spam,You have been selected for a $1000 cash prize! Claim now!
spam,You have been selected for a $1000 cash prize! Claim now!
spam,Click here to receive your free gift card worth $500.
spam,You are the lucky winner of a new iPhone!
spam,You are the lucky winner of a new iPhone!
ham,"Hello, I wanted to discuss our meeting next week."
ham,Please let me know if you need any further assistance.
ham,Don’t forget to submit your report by the end of the day.
ham,Don’t forget to submit your report by the end of the day.
ham,Looking forward to our lunch meeting today.
spam,"Limited offer: Buy one, get one free."
spam,Click here to receive your free gift card worth $500.
spam,"Limited offer: Buy one, get one free."
ham,Please review the attached document before our call.
spam,Earn money fast with this simple trick!
spam,You have been selected for a $1000 cash prize! Claim now!
ham,Looking forward to our lunch meeting today.
ham,Can we catch up tomorrow for coffee?
ham,Please let me know if you need any further assistance.
spam,Get rich quick with this exclusive opportunity!
ham,Looking forward to our lunch meeting today.
spam,Get rich quick with this exclusive opportunity!
ham,Don’t forget to submit your report by the end of the day.
spam,Click here to receive your free gift card worth $500.
spam,You have been selected for a $1000 cash prize! Claim now!
ham,Please let me know if you need any further assistance.
ham,"Hello, I wanted to discuss our meeting next week."
spam,Earn money fast with this simple trick!
ham,Reminder: Your appointment is scheduled for 10 AM on Friday.
ham,Please review the attached document before our call.
ham,Reminder: Your appointment is scheduled for 10 AM on Friday.
ham,Reminder: Your appointment is scheduled for 10 AM on Friday.
ham,"Hello, I wanted to discuss our meeting next week."
ham,Reminder: Your appointment is scheduled for 10 AM on Friday.
spam,Click here to receive your free gift card worth $500.
spam,Exclusive deal just for you! Act now before it’s too late.
spam,You are the lucky winner of a new iPhone!
ham,Don’t forget to submit your report by the end of the day.
spam,"Limited offer: Buy one, get one free."
spam,"Limited offer: Buy one, get one free."
spam,You are the lucky winner of a new iPhone!
spam,Earn money fast with this simple trick!
spam,Congratulations! You have won a free vacation to Hawaii!
spam,Get rich quick with this exclusive opportunity!
spam,Congratulations! You have won a free vacation to Hawaii!
spam,Exclusive deal just for you! Act now before it’s too late.
spam,Earn money fast with this simple trick!
ham,See you at the office tomorrow.
ham,Please review the attached document before our call.
spam,Click here to receive your free gift card worth $500.
spam,Get rich quick with this exclusive opportunity!
spam,Exclusive deal just for you! Act now before it’s too late.
ham,Looking forward to our lunch meeting today.
ham,Please review the attached document before our call.
spam,Earn money fast with this simple trick!
ham,Your order has been shipped and is on its way.
spam,You are the lucky winner of a new iPhone!
ham,Thank you for your payment.
spam,Congratulations! You have won a free vacation to Hawaii!
spam,Congratulations! You have won a free vacation to Hawaii!
spam,"Limited offer: Buy one, get one free."
ham,Looking forward to our lunch meeting today.
spam,Congratulations! You have won a free vacation to Hawaii!
ham,See you at the office tomorrow.
ham,Reminder: Your appointment is scheduled for 10 AM on Friday.
spam,Urgent: Your account has been compromised. Click to secure.
spam,Get rich quick with this exclusive opportunity!
spam,Click here to receive your free gift card worth $500.
ham,Reminder: Your appointment is scheduled for 10 AM on Friday.
ham,Please review the attached document before our call.
spam,Click here to receive your free gift card worth $500.
ham,See you at the office tomorrow.
spam,Act now to get your free trial of our amazing product!
ham,Please review the attached document before our call.
ham,Looking forward to our lunch meeting today.
spam,You are the lucky winner of a new iPhone!
ham,Looking forward to our lunch meeting today.
ham,Don’t forget to submit your report by the end of the day.
spam,Act now to get your free trial of our amazing product!
ham,Your order has been shipped and is on its way.
ham,Don’t forget to submit your report by the end of the day.
spam,You have been selected for a $1000 cash prize! Claim now!
ham,Looking forward to our lunch meeting today.
spam,Congratulations! You have won a free vacation to Hawaii!
ham,Please let me know if you need any further assistance.
spam,You are the lucky winner of a new iPhone!
spam,Earn money fast with this simple trick!
ham,Can we catch up tomorrow for coffee?
spam,Click here to receive your free gift card worth $500.
spam,Congratulations! You have won a free vacation to Hawaii!
spam,You have been selected for a $1000 cash prize! Claim now!
spam,Urgent: Your account has been compromised. Click to secure.
spam,"Limited offer: Buy one, get one free."
ham,Thank you for your payment.
ham,Please let me know if you need any further assistance.
ham,See you at the office tomorrow.
ham,"Hello, I wanted to discuss our meeting next week."
spam,You have been selected for a $1000 cash prize! Claim now!
spam,You are the lucky winner of a new iPhone!
